"Action","Action"
"Add Featured Product Template","Add Featured Product Template"
"Add Group","Add Group"
"Add Template","Add Template"
"Any","Any"
"Delete Group","Delete Group"
"Delete Template","Delete Template"
"Edit","Edit"
"Edit Featured Product Group","Edit Featured Product Group"
"Featured Group was successfully saved","Featured Group was successfully saved"
"Featured Product","Featured Product"
"Featured Product Groups","Featured Product Groups"
"Featured Product Templates","Featured Product Templates"
"Featured Products","Featured Products"
"File","File"
"File path starting from the template folder.<br />Example: folder/file.phtml","File path starting from the template folder.<br />Example: folder/file.phtml"
"From:","From"
"Group","Group"
"Group Information","Group Information"
"Groups","Groups"
"ID","ID"
"Name","Name"
"Natural","Natural"
"No","No"
"Position","Position"
"Price","Price"
"Products","Products"
"Quantity of Products","Quantity of Products"
"Random","Random"
"Save And Continue Edit","Save And Continue Edit"
"Save Group","Save Group"
"Save Template","Save Template"
"Show Featured Products","Show Featured Products"
"SKU","SKU"
"Sort By","Sort By"
"Sort Direction","Sort Direction"
"Status","Status"
"Template","Template"
"Template Information","Template Information"
"Template was successfully saved","Template was successfully saved"
"Templates","Templates"
"Title","Title"
"To:","To:"
"Type","Type"
"Visibility","Visibility"
"Yes","Yes"
