"Action","Acción"
"Add Featured Product Template","Agregar Plantilla de Producto Destacado"
"Add Group","Agregar Grupo"
"Add Template","Agregar Plantilla"
"Any","Cualquiera"
"Delete Group","Borrar Grupo"
"Delete Template","Borrar Plantilla"
"Edit","Editar"
"Edit Featured Product Group","Editar Grupo de Productos Destacados"
"Featured Group was successfully saved","El Grupo de Productos Destacados fue guardado correctamente"
"Featured Product","Producto Destacado"
"Featured Product Groups","Grupos de Productos Destacados"
"Featured Product Templates","Plantillas de Productos Destacados"
"Featured Products","Productos Destacados"
"File","Archivo"
"File path starting from the template folder.<br />Example: folder/file.phtml","La ruta del archivo a partir de la carpeta de plantillas.<br>Ejemplo: directorio/archivo.phtml"
"From:","De:"
"Group","Grupo"
"Group Information","Información del Grupo"
"Groups","Grupos"
"ID","ID"
"Name","Nombre"
"Natural","Natural"
"No","No"
"Position","Posición"
"Price","Precio"
"Products","Productos"
"Quantity of Products","Cantidad de Productos"
"Random","Aleatorio"
"Save And Continue Edit","Guardar y Continuar editando"
"Save Group","Guardar Grupo"
"Save Template","Guardar Plantilla"
"Show Featured Products","Mostrar Productos Destacados"
"SKU","SKU"
"Sort By","Ordenar por"
"Sort Direction","Sentido del Orden"
"Status","Estado"
"Template","Plantilla"
"Template Information","Información de la Plantilla"
"Template was successfully saved","La Plantilla fue guardada correctamente"
"Templates","Plantillas"
"Title","Título"
"To:","A:"
"Type","Tipo"
"Visibility","Visibilidad"
"Yes","Sí"
